Cenario,Situacao,Aventura,Escolha A),Escolha B),Porcentagem A),Porcentagem B),Probabilidade de sucesso A),Probabilidade de sucesso B),Probabilidade de fracasso A),Probabilidade de fracasso B)
Praia,1,Explorar os destrocos do aviao:,Vasculhar os destrocos em busca de suprimentos uteis.,Procurar um lugar seguro para montar um abrigo com os destrocos.,94,90,"Joao encontra um kit de primeiros socorros e alguns alimentos enlatados, o que melhora sua sobrevivencia inicial. Ele pode usar os suprimentos para se curar de ferimentos e se alimentar enquanto explora a ilha.","Joao monta um abrigo resistente. Ele tem um local seguro para descansar e se recuperar, melhorando sua condicao fisica.","Joao corta a mao em um pedaco de metal afiado e se infecta, dificultando suas futuras acoes. A infeccao reduz sua capacidade fisica, dificultando futuras exploracoes.","O abrigo desaba durante a noite, machucando Joao. Ele fica ferido e precisa gastar tempo e recursos para se recuperar. "
Praia,2,Procurar agua potavel:,Caminhar ao longo da praia em busca de um riacho.,Cavoucar a areia para tentar encontrar uma fonte subterranea.,92,95,"Joao encontra um riacho com agua fresca e potavel. Ele pode se manter hidratado e saudavel, permitindo-lhe explorar mais.",Joao encontra agua limpa e suficiente para se manter hidratado. Ele pode ficar perto de seu abrigo inicial e manter um suprimento constante de agua.,"Joao se perde na caminhada e nao encontra o caminho de volta antes do anoitecer. Ele passa uma noite exposto, o que o deixa vulneravel e cansado no dia seguinte.","A agua que encontra e salobra e o deixa doente. Joao fica doente, enfraquecendo-o e dificultando futuras tarefas."
Praia,3,Construir um sinal de resgate:,Fazer uma grande fogueira na praia.,Usar pedras e destrocos para escrever uma mensagem grande na areia.,90,98,Um navio avista a fumaca e vem ao resgate de Joao. Ele pode ser resgatado ou ganhar tempo extra ate o resgate chegar.,"Um aviao avista a mensagem e envia ajuda. Joao sabe que o resgate esta a caminho, mas precisa sobreviver ate la.","O fogo se descontrola, causando um incendio na vegetacao proxima. Joao perde recursos naturais e pode atrair animais perigosos para a area.","A mare alta apaga a mensagem antes de ser vista. Joao perde tempo e energia sem resultados, desmotivando-o."
Praia,4,Enfrentar uma tempestade:,Buscar abrigo em uma caverna proxima.,Usar partes do aviao para construir um abrigo temporario.,94,91,Joao fica seguro e seco durante a tempestade. Ele sobrevive a tempestade ileso e pode explorar a caverna.,O abrigo resiste a tempestade e protege Joao. Ele mantem seus recursos e equipamentos secos.,"A caverna inunda, obrigando Joao a sair as pressas. Ele perde equipamentos e recursos na inundacao. ","O abrigo e destruido pelo vento forte, deixando Joao exposto. Ele precisa reconstruir tudo do zero, gastando energia e tempo."
Praia,5,Encontrar comida:,Pescar no mar usando material improvisado.,Procurar frutas comestiveis ao redor da praia.,96,92,Joao pega peixes suficientes para varios dias. Ele tem uma fonte estavel de comida e energia para explorar mais.,Joao encontra uma abundancia de frutas frescas e nutritivas. Ele diversifica sua dieta e encontra novas areas para explorar.,"Joao e atacado por uma agua-viva e fica ferido. Ele precisa tratar os ferimentos, limitando suas atividades.",Joao come frutas venenosas e fica gravemente doente. Ele fica debilitado e precisa de tempo para se recuperar.
Floresta,6,Desbravar a floresta:,Seguir uma trilha de animais.,Abrir caminho pela vegetacao densa com uma ferramenta improvisada.,95,94,A trilha leva a uma fonte de agua limpa e um local seguro para acampar. Joao pode explorar a floresta com mais seguranca e facilidade.,Joao encontra um caminho para uma clareira segura. Ele descobre novas areas e possiveis recursos na floresta.,"A trilha termina em um ninho de cobras venenosas. Joao precisa escapar das cobras, ficando ferido no processo.",Joao se fere com a ferramenta e perde tempo precioso. Ele fica mais vulneravel e precisa se recuperar antes de continuar.
Floresta,7,Construir um abrigo:,Fazer uma cabana de folhas e galhos.,Construir uma plataforma nas arvores para evitar animais perigosos.,92,90,O abrigo mantem Joao seguro e protegido durante a noite. Ele pode descansar bem e recuperar energia para o dia seguinte.,Joao se mantem seguro e longe de animais selvagens. Ele evita confrontos com animais e pode se concentrar em explorar.,"O abrigo nao e resistente e desaba com a chuva. Joao passa a noite exposto, ficando cansado e vulneravel.",Joao cai da plataforma e se machuca. Ele fica ferido e tem dificuldades para continuar suas atividades.
Floresta,8,Buscar alimento:,Cacar pequenos animais com armadilhas improvisadas.,"Recolher frutos e raizes, identificando quais são seguros para consumo.",95,94,"Joao captura varios pequenos animais, garantindo comida. Ele tem uma fonte estavel de proteinas para se manter forte.",Joao encontra frutos e raizes nutritivas e seguras. Ele pode diversificar sua dieta e ganhar energia extra.,As armadilhas falham e Joao fica sem alimento. Ele precisa encontrar outra fonte de comida rapidamente.,Joao consome raizes venenosas e passa mal. Ele fica debilitado e precisa de tempo para se recuperar.
Floresta,9,Navegar pelo rio:,Construir uma jangada com troncos e cipos.,"Seguir pela margem do rio, investigando seus arredores.",92,96,Joao navega com sucesso ate uma area mais segura da ilha. Ele descobre recursos importantes.,Joao encontra uma cachoeira com um lago seguro e agua potavel. Ele estabelece um novo ponto de acampamento com agua abundante.,A jangada se desfaz e Joao e levado pela correnteza. Ele perde seus suprimentos e precisa se reorientar.,Joao encontra animais perigosos ao longo da margem. Ele precisa desviar e perde tempo precioso. 
Floresta,10,Enfrentar um animal selvagem:,Tentar espanta-lo com fogo ou barulho.,Subir em uma arvore e esperar o animal ir embora.,96,93,"O animal se assusta e foge, deixando Joao em paz. Ele ganha confianca e seguranca para explorar mais.","O animal eventualmente se afasta, permitindo que Joao desca. Ele evita confronto direto e permanece seguro.",O barulho atrai mais animais perigosos. Joao fica cercado e precisa encontrar um novo abrigo.,Joao cai da arvore e se machuca seriamente. Ele fica incapacitado e precisa de tempo para se recuperar.
